,Neighborhood,Population,Density,Average income,"Second language after English, %","Second language after English, name",Second language population
0,Agincourt,44577,3580,25750,19.3,Cantonese,8603
1,Alderwood,11656,2360,35239,6.2,Polish,722
2,Alexandra Park,4355,13609,19687,17.9,Cantonese,779
3,Allenby,2513,4333,245592,1.4,Russian,35
4,Amesbury,17318,4934,27546,6.1,Spanish,1056
5,Armour Heights,4384,1914,116651,9.4,Russian,412
6,Banbury,6641,2442,92319,5.1,Chinese,338
7,Bathurst Manor,14945,3187,34169,9.5,Russian,1419
8,Bay Street Corridor,4787,43518,40598,9.6,Mandarin,459
9,Bayview Village,12280,2966,46752,8.4,Cantonese,1031
10,Bayview Woods – Steeles,13298,3267,41485,9.3,Cantonese,1236
11,Bedford Park,13749,6057,80827,0.7,Greek,96
12,Bendale,28945,3409,29723,3.7,Tamil,1070
13,Birch Cliff,12266,3525,48965,0.9,Chinese,110
14,Bloor West Village,5175,6993,55578,3.6,Ukrainian,186
15,Bracondale Hill,5343,8618,41605,4.8,Greek,256
16,Branson,8017,6414,27156,24.1,Russian,1932
17,Bridle Path,1540,445,314107,12.0,Cantonese,184
18,Brockton,9039,8217,27260,19.9,Portuguese,1798
19,Cabbagetown,11120,7943,50398,1.6,Chinese,177
20,Caribou Park,4097,4017,103703,2.9,Tagalog,118
21,Carleton Village,6544,8843,23301,17.0,Portuguese,1112
22,Casa Loma,3597,5369,82203,1.8,Korean,64
23,Centennial,12565,2544,34867,2.7,Polish,339
24,Chaplin Estates,4906,5275,81288,1.2,French,58
25,Christie Pits,5124,8006,30556,11.9,Portuguese,609
26,Church and Wellesley,13397,24358,37653,1.8,Spanish,241
27,Clairville,8506,1268,26610,12.0,Punjabi,1020
28,Clairlea,11104,3102,33392,4.3,Filipino,477
29,Cliffcrest,14531,2073,38182,1.5,Tamil,217
30,Cliffside,9386,3831,32701,2.3,Cantonese,215
31,Corktown,4484,6693,54681,2.1,Spanish,94
32,Crescent Town,8157,20393,23021,18.1,Bengali,1476
33,Cricket Club,5504,2808,104362,1.4,Filipino,77
34,Davenport,8781,8870,28335,17.1,Portuguese,1501
35,Davisville,23727,7556,55735,1.5,Persian,355
36,Deer Park,15165,10387,80704,1.1,Russian,166
37,Discovery District,7262,6998,41998,6.5,Chinese,472
38,Distillery District/West Don Lands,6378,4795,40617,2.5,French,159
39,Don Mills,21372,2377,47515,3.9,Chinese,833
40,Don Valley Village,29740,5764,30442,9.7,Chinese,2884
41,Dorset Park,14189,3331,26525,9.5,Tamil,1347
42,Dovercourt Park,8497,9767,28311,13.1,Portuguese,1113
43,Downsview,36613,2270,26751,11.7,Italian,4283
44,Dufferin Grove,9875,9975,27961,15.2,Portuguese,1501
45,Earlscourt,17240,7696,26672,18.9,Portuguese,3258
46,East Danforth,21440,8576,33847,4.2,Cantonese,900
47,Eatonville,19131,1699,36206,3.2,Serbian,612
48,Eglinton East,22387,6931,25307,9.7,Tamil,2171
49,Elia (Jane and Finch),48003,6267,22691,6.9,Vietnamese,3312
50,Eringate,8008,3282,34789,3.4,Portuguese,272
51,Fairbank,34121,7720,28403,11.3,Portuguese,3855
52,Fashion District,4642,4737,63282,1.1,Portuguese,51
53,Financial District,548,1166,63952,1.8,Japanese,9
54,Flemingdon Park,21287,8760,23471,6.3,Urdu,1341
55,Forest Hill,24056,5530,101631,2.4,Russian,577
56,Fort York/Liberty Village,3821,1794,46086,1.7,Hindi,64
57,Garden District,8240,15846,37614,3.0,Chinese,247
58,Glen Park,18426,4462,35022,9.3,Italian,1713
59,Governor's Bridge/Bennington Heights,2112,1129,129904,1.4,Polish,29
60,Grange Park,9007,10793,35277,14.8,Chinese,1333
61,Graydon Hall,4714,6639,23350,11.8,Persian,556
62,Guildwood,12820,2688,40806,1.2,Persian,153
63,Harbord Village,5906,9228,45792,4.1,Portuguese,242
64,Harbourfront / CityPlace,14368,9228,69232,2.4,Chinese,344
65,Harwood,3375,4327,22136,19.0,Portuguese,641
66,Henry Farm,2790,3066,56395,3.9,Mandarin,108
67,High Park North,22746,10434,46437,3.0,Polish,682
68,Highland Creek,12853,2505,33640,5.1,Tamil,655
69,Hillcrest,18327,3426,33465,13.9,Chinese,2547
70,Hoggs Hollow,3123,1132,222560,2.4,Chinese,74
71,Humber Bay Shores,10775,7588,39186,5.2,Russian,560
72,Humber Heights,4674,2766,39738,4.1,Spanish,191
73,Humber Summit,12766,1618,26117,15.1,Italian,1927
74,Humber Valley Village,14453,2652,80618,3.9,Ukrainian,563
75,Humberlea,4327,2164,30907,11.1,Italian,480
76,Humbermede,14778,3397,24297,9.7,Punjabi,1433
77,Humberwood,7319,421,29576,26.7,Punjabi,1954
78,Humewood–Cedarvale,27515,8624,40404,3.6,Spanish,990
79,Ionview,13025,6714,25078,6.5,Filipino,846
80,Islington – Six Points,16508,4106,43570,4.9,Korean,808
81,Junction Triangle,6666,9258,28067,13.0,Portuguese,866
82,Kensington Market,3740,10389,23335,14.3,Cantonese,534
83,Kingsview Village,16254,4013,32004,7.0,Somali,1137
84,Lambton,9654,3523,30920,3.9,Portuguese,376
85,L'Amoreaux,45862,6414,26375,13.9,Chinese,6374
86,Lansing,10052,3285,46631,4.7,Persian,472
87,Lawrence Heights,3769,1178,29867,15.0,Italian,565
88,Lawrence Manor,13750,6425,36361,7.2,Filipino,990
89,Lawrence Park,6653,1828,214110,0.8,French,53
90,Leaside,13876,4938,82670,0.4,Bulgarian,55
91,Ledbury Park,12360,4944,83853,1.4,Filipino,173
92,Leslieville,23567,8761,30886,9.4,Cantonese,2215
93,Little Italy,7917,9774,31231,17.4,Portuguese,1377
94,Little Portugal,5013,10231,29224,23.8,Portuguese,1193
95,Long Branch,9625,4336,37288,4.5,Polish,433
96,Lytton Park,6494,5073,127356,0.9,Serbian,58
97,Malvern,44324,5003,25677,12.2,Tamil,5407
98,Maple Leaf,20313,4425,27611,13.0,Italian,2640
99,Markland Wood,10240,3507,51695,3.4,Polish,348
100,Maryvale,8800,3860,30944,4.1,Filipino,360
101,Milliken,26272,3654,25243,26.6,Cantonese,6988
102,Mimico,14198,2629,47011,3.6,Polish,511
103,Moore Park,4474,3959,154825,1.1,French,49
104,Morningside,11472,4112,27139,10.8,Tamil,1238
105,Mount Dennis,21284,6469,23910,7.3,Spanish,1553
106,New Toronto,10455,3858,33415,4.6,Polish,480
107,Newtonbrook,36046,4110,33428,8.8,Russian,3172
108,Niagara,6524,11862,44611,4.0,Portuguese,260
109,North York City Centre,10427,37239,34330,10.1,Chinese,1053
110,Oakridge,13368,7187,21155,12.6,Bengali,1684
111,O'Connor–Parkview,17740,3591,33517,3.2,Urdu,567
112,Old East York,52220,6577,33172,4.3,Greek,2245
113,Old Mill/Baby Point,4010,3748,110372,4.1,Ukrainian,164
114,Parkdale,28367,13974,26314,2.9,Polish,822
115,Parkway Forest,8498,4970,24333,8.5,Chinese,722
116,Parkwoods,26533,5349,34811,3.4,Chinese,902
117,Pelmo Park,4402,2001,32002,6.7,Italian,294
118,Playter Estates,3968,7936,44557,1.8,Chinese,71
119,Pleasant View,16615,5465,29250,12.7,Chinese,2110
120,Port Lands,571,94,36243,3.5,Mandarin,19
121,Port Union,12450,2310,48117,1.6,Filipino,199
122,Princess Gardens,9288,2249,80607,2.4,Korean,222
123,Regal Heights,2719,7155,36652,5.5,Spanish,149
124,Regent Park/Trefann Court,10387,16230,19521,10.5,Bengali,1090
125,Richview,26053,4002,34579,4.2,Italian,1094
126,Riverdale,31007,7771,40139,6.7,Cantonese,2077
127,Rockcliffe–Smythe,4681,4826,28723,8.2,Spanish,383
128,Roncesvalles,15996,8079,46820,4.4,Polish,703
129,Rosedale,7672,2821,213941,1.0,Chinese,76
130,Rouge,22724,791,29230,15.6,Tamil,3544
131,Rouge Hill,11167,2878,32858,2.4,Filipino,268
132,Runnymede,4382,5155,42635,2.2,Ukrainian,96
133,Scarborough Junction,25780,3479,25405,4.2,Tamil,1082
134,Scarborough City Centre,16403,6358,26756,10.3,Tamil,1689
135,Scarborough Village,12796,6303,24413,11.4,Tamil,1458
136,Seaton Village,5259,8482,41506,5.0,Portuguese,262
137,Silverthorn,17757,5045,26291,11.8,Portuguese,2095
138,Smithfield,34996,5426,24387,11.8,Punjabi,4129
139,South Hill,6218,4935,120453,1.0,French,62
140,St. James Town,14666,63765,22341,8.1,Filipino,1187
141,Steeles,24696,5464,26660,23.7,Cantonese,5852
142,Summerhill,5100,7846,88937,1.1,Chinese,56
143,Sunnylea,17602,3366,51398,5.2,Polish,915
144,Swansea,11133,2961,58681,3.0,Polish,333
145,Tam O'Shanter – Sullivan,27235,5006,27717,12.6,Chinese,3431
146,The Annex,15602,10614,63636,1.3,Spanish,202
147,The Beaches,20416,5719,67536,0.7,Cantonese,142
148,The Danforth,7849,9022,44979,7.4,Greek,580
149,The Elms,9437,3300,28014,6.1,Spanish,575
150,The Junction,11391,4827,34906,4.1,Portuguese,467
151,The Kingsway,8780,3403,110944,1.8,Ukrainian,158
152,The Queensway,6207,2369,38944,4.1,Italian,254
153,Thistletown,16790,4229,28955,8.6,Punjabi,1443
154,Thorncliffe Park,17949,5809,25340,21.5,Urdu,3859
156,Trinity–Bellwoods,8687,9442,31106,13.6,Portuguese,1181
157,Upper Beaches,19830,6791,44346,0.7,Cantonese,138
158,Victoria Village,17047,3612,29657,3.2,Urdu,545
159,Wallace Emerson,10338,11748,25029,19.2,Portuguese,1984
160,West Deane Park,4395,2063,41582,2.3,Ukrainian,101
161,West Hill,25632,2676,27936,3.0,Tamil,768
162,West Rouge,9300,2090,44605,2.8,Cantonese,260
163,Westminster,16386,6914,27826,31.4,Russian,5145
164,Westmount,5857,5932,35183,10.6,Ukrainian,620
165,Weston,16476,6564,27446,7.0,Spanish,1153
166,Wexford,17844,2239,28556,4.5,Filipino,802
167,Willowdale,43144,5618,39895,7.9,Cantonese,3408
168,Wilson Heights,13732,3317,37978,6.2,Filipino,851
169,Woburn,48507,3636,26190,9.1,Gujarati,4414
170,Wychwood,4182,6150,53613,2.7,Portuguese,112
171,York Mills,17564,2409,92099,4.0,Korean,702
172,York University Heights,26140,1979,24432,6.6,Italian,1725
173,Yorkville,6045,10795,105239,1.9,French,114
